month,revenue,prev_month_revenue,mom_change_pct,anomaly_flag
2024-12-01 00:00:00+00:00,603626.92,569481.45,6.0,Normal
2024-11-01 00:00:00+00:00,569481.45,573440.96,-0.69,Normal
2024-10-01 00:00:00+00:00,573440.96,541745.35,5.85,Normal
2024-09-01 00:00:00+00:00,541745.35,544615.13,-0.53,Normal
2024-08-01 00:00:00+00:00,544615.13,529987.29,2.76,Normal
2024-07-01 00:00:00+00:00,529987.29,493822.1,7.32,Normal
2024-06-01 00:00:00+00:00,493822.1,495981.96,-0.44,Normal
2024-05-01 00:00:00+00:00,495981.96,462676.37,7.2,Normal
2024-04-01 00:00:00+00:00,462676.37,459806.74,0.62,Normal
2024-03-01 00:00:00+00:00,459806.74,413752.86,11.13,MEDIUM ANOMALY (>10% change)
2024-02-01 00:00:00+00:00,413752.86,430070.95,-3.79,Normal
2024-01-01 00:00:00+00:00,430070.95,413483.31,4.01,Normal
2023-12-01 00:00:00+00:00,413483.31,386626.99,6.95,Normal
2023-11-01 00:00:00+00:00,386626.99,384077.22,0.66,Normal
2023-10-01 00:00:00+00:00,384077.22,352411.72,8.99,Normal
2023-09-01 00:00:00+00:00,352411.72,354701.54,-0.65,Normal
2023-08-01 00:00:00+00:00,354701.54,340523.76,4.16,Normal
2023-07-01 00:00:00+00:00,340523.76,312507.37,8.97,Normal
2023-06-01 00:00:00+00:00,312507.37,305228.4,2.38,Normal
2023-05-01 00:00:00+00:00,305228.4,282851.31,7.91,Normal
2023-04-01 00:00:00+00:00,282851.31,271662.88,4.12,Normal
2023-03-01 00:00:00+00:00,271662.88,234777.7,15.71,HIGH ANOMALY (>15% change)
2023-02-01 00:00:00+00:00,234777.7,239637.15,-2.03,Normal
2023-01-01 00:00:00+00:00,239637.15,220569.75,8.64,Normal
2022-12-01 00:00:00+00:00,220569.75,197662.93,11.59,MEDIUM ANOMALY (>10% change)
2022-11-01 00:00:00+00:00,197662.93,182774.84,8.15,Normal
2022-10-01 00:00:00+00:00,182774.84,165797.38,10.24,MEDIUM ANOMALY (>10% change)
2022-09-01 00:00:00+00:00,165797.38,153229.06,8.2,Normal
2022-08-01 00:00:00+00:00,153229.06,133911.78,14.43,MEDIUM ANOMALY (>10% change)
2022-07-01 00:00:00+00:00,133911.78,110864.81,20.79,HIGH ANOMALY (>15% change)
2022-06-01 00:00:00+00:00,110864.81,95556.9,16.02,HIGH ANOMALY (>15% change)
2022-05-01 00:00:00+00:00,95556.9,71610.13,33.44,HIGH ANOMALY (>15% change)
2022-04-01 00:00:00+00:00,71610.13,52662.64,35.98,HIGH ANOMALY (>15% change)
2022-03-01 00:00:00+00:00,52662.64,31685.44,66.2,HIGH ANOMALY (>15% change)
2022-02-01 00:00:00+00:00,31685.44,15807.8,100.44,HIGH ANOMALY (>15% change)
